Item,QTY Needed,QTY Purchased,   Price   ,Description,Link
Keyswitches,74,90, $27.98 ,Clicky switches,https://www.amazon.com/Akko-Keyboard-Diffuser-Mechanical-Structure/dp/B0DJNSK6TD/
Keycaps (Japanese Maple),,, $25.99 ,,https://www.amazon.com/Japanese-Keycaps-Sublimation-Mechanical-Keyboard/dp/B08Y6S1N3X/ref=sr_1_2_sspa?sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY
nice!nano,1,1, $24.99 ,microcontroller,https://www.littlekeyboards.com/products/nice-nano
PCB,1,5, $30.00 ,JLCPCB (also includes shipping),
diodes,70,125, $5.99 ,SOD-123 package diodes,https://www.amazon.com/100-Pieces-1N4148W-Switching-High-Speed/dp/B079KJX5J9/
Stabilizers,,, $18.99 ,Spacebar/2u stabilizers,https://www.amazon.com/DUROCK-Stabilizers-Translucent-Keyboard-Mechanical/dp/B0B2RVN19F/ref=sr_1_1_sspa?sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY
peel-away sockets,2,2, $6.00 ,socketing the microcontroller,https://ringerkeys.com/products/peel-a-way-sockets?variant=40212560576594
peel-away pins,2,2, $6.00 ,socketing the microcontroller,https://ringerkeys.com/products/peel-a-way-sockets?variant=40212560609362
Battery,1,1, $8.99 ,A 3048128 3400mAh battery,https://www.amazon.com/YTKavq-3400mAh-Battery-Rechargeable-Connector/dp/B08TTJ79JV/
Latching Switches,1,3, $7.99 ,Power on/off switch,https://www.amazon.com/Gebildet-Prewired-Waterproof-Self-Locking-Stainless/dp/B0BXPFW69R/
littlekeyboards shipping,,, $6.00 ,,
ringerkeys shipping,,, $6.00 ,,
Total,,, $174.92 ,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
